,type,name,lat,lng
117,Basket,Battersea Park All Weather Sports Ground,51.4763047,-0.159693
118,Basket,GO Mammoth,51.4607701,-0.1039543
119,Basket,Stamford Bridge,51.481663,-0.1909565
120,Design,The Empire Design Company Ltd,51.5178218,-0.1473298
121,Design,Interior Designer London Award Winning Interior design company,51.477107,-0.1886423
122,Design,Companies Web Design,51.49926439999999,-0.0130435
123,Design,GB Logo Design - Logo Design Company in The UK,51.6111048,-0.178416
124,Design,The Web Design Company,51.5562186,0.0192013
125,Design,Skywide Design Ltd.,51.9502386,-0.2722044
126,Design,Web Design Company,51.49926439999999,-0.0130435
127,Design,Companies Web Design,51.5911504,0.0442412
128,Design,Website Design and Development Company,51.6398679,-0.399578
129,Design,Idiosys Technologies - Best Web Design Company in UK,51.5238191,-0.1103317
130,Design,Chelmsford Web Design Company,51.7291159,0.4781298
131,Design,Graphic Design London,51.5099697,-0.128982
132,Design,Interior Design Company - House of Design Felsted Ltd,51.8562391,0.4789053
133,Design,Website Design Chingford.co.uk - Best Chingford Website Design Company,51.6072084,-0.0272057
134,Design,Barber Design Consultancy,51.4691818,-0.2199011
135,Design,LUMA Product Design London,51.4951935,0.0427132
136,Design,Centreline Design and Manufacture - London Studio,51.5304666,-0.07639399999999999
137,Design,Glazier Design,51.5179529,-0.140166
138,Design,Cheap Web Design Company,51.44970439999999,-0.1262508
139,Design,Italian Classic Design Company Limited,51.5231327,-0.1749943
140,Starbucks,Starbucks,51.51610900000001,-0.087348
141,Starbucks,Starbucks,51.514141,-0.161226
142,Starbucks,Starbucks,51.237907,-0.208984
143,Starbucks,Starbucks,51.39456999999999,0.496326
144,Starbucks,Starbucks,51.294022,-0.804496
145,Starbucks,Starbucks,51.37254,-0.225062
146,Starbucks,Starbucks,51.40188759999999,0.5342437
147,Starbucks,Starbucks Coffee,51.58205599999999,-0.244449
148,Starbucks,Starbucks,51.1559999,-0.1627442
149,Starbucks,Starbucks,51.4152675,-0.7498906
150,Starbucks,Starbucks,51.50071459999999,-0.1625038
151,Starbucks,Starbucks,51.5074409,-0.1425292
152,Starbucks,Starbucks Coffee,51.51635599999999,-0.119867
153,Starbucks,Starbucks Coffee,51.393094,-0.740413
154,Starbucks,Starbucks,51.512332,-0.121685
155,Starbucks,Starbucks Coffee,51.5138694,-0.1492504
156,Starbucks,Starbucks Coffee,51.50879639999999,-0.1442989
157,Starbucks,Starbucks Coffee,51.528563,-0.127107
158,Starbucks,Starbucks,51.499911,-0.104411
159,Starbucks,Starbucks Coffee,51.487413,0.024706
